input,target
currently account bank america honest love bank america customer since recently never issues bank america recently cam across financial difficulties caused account go negative end higher normal overdraft fee problem paying draft fee one fault hiowever account overdrawn amount well actually dollar transactions fee falls returned item fees overdraft fees total dollars think problem missing fees believe balance however contacted bank america state nothing think insane seriously returned item fee understand fighting comed speak submitting payment however overdraft fees really think bit much,Bank account or service
mortgage fifth third bank past  years come due still owed fied rate installment loan late several times also paid late fees tried get help understand still owe much gotten anywhere apply payments wrong charge us late fees even late gotten history understand way apply interest principle paid etra apply late fees would like investigated audited pay total amount due know owe money nt feel much,Mortgage
parents behind  month mortgage owners never home student usually home mostly weekends debt collector showed yesterday violently banging door could rang doorbell year old woman intimidated car logos suv today returning home running errands van waiting street away turn get home pulled infront almost crashed car took picture got home got car continued take pictures gave notice call mortgage company feel danger getting followed home random man almost getting car crashed frankly feel harrassed,Debt collection
never lived indiana wife like removed accounts,Credit reporting
denied start gas service ohio states freeze ssn eperian contacting eperian several times informed eperian freeze ssn written emailed called eperian avail response start service freeze response eperian freeze totally impossible speak person eperian discuss anything freeze lifted received responses letters requests eperian,Credit reporting
national commercial services sent letter dated alleging owed approimated  alleged someone believe anyone evidence support court judgment responded certified letter sent received confirmation receipt ja,Debt collection
dispute letters eplanations filed letters typed checked status never investigated didnt help tranfered anyone could assist make better future hanging head keeping purchasing car house anything dealing credit dispute issues report since,Credit reporting
legal item listed credit report paid listed paid seem get anyone help take care,Credit reporting
suntrust bank duplicate reports reflecting negative history mortgage service r collected payments  time along ch arrears current status mortgage hard inquiry recent authorized done,Bank account or service
mortgage chase acct # sold acct # force placed insurance account years sent proof insurance kept misapplying payments towards escrow shortage rather mortgage charging late fees finally spoke someone sense mailed check theforce placed insurance since interim sold th loan sold loan transferred incorrect amount therefore would send payments kept returning stating payment enough cover debt chase sent reimbursement check made still returned check stating nt enough finally thought nightmare last year continued ongoing nightmare account keeps accumulating late fees payments continue returned stating enough cover debt hire attorney also gets run around contacted attorney even get answer states waive previous late fees misapplied funds sent chase need chase correct misapplied payments remove late fees update credit bureau report correct balance  waive late fees update credit bureau apply escrow credit balance accept payments payments sent returned amount account want nightmare,Mortgage
cfpb would like organization start entire investigation case said complained bank america loan try show legal standing close action florida bank must show original documents mortgage promissory note bank also show proper shine title recorded country property located required law bank must show assignments mortgage endorsements notaries acknowledgments penalty perjury,Mortgage
ocwen loan servicing llc since playing game mortgage home since despite monthly checks correct amount monthly payment rejected stating escrow insurance company another company besides something done since loan originated therefore escrow ever original account recently payments sent amount   confirming priority letter package received signature return call check get told  sent foreclosure notice loans recently  years started playing games document everything names use never however employee id provide never match fa numbers provide according supervisor correct net supervisor incorrect supervisor backtrack try cover say told mistaken correct proper working fa time current fa number time company anticipating consumers write names numbers keep accurate record dates times held account checks month  weeks law states  business days either cashes waits bounce forget error made send back tell cash false balance account accruing late fees,Mortgage
mortgage company green tree servicing llc sends billing statements late many times statements date correct billing amount hit late fees bombard harassing phone calls throughout day trying get pay credit card phone purchased property aggregate credit score nt problems previous mortgage companies,Mortgage
